,title,name,catogery,size,region,price,second_feature,third_feature,other
20,中邦城市 3室2厅 7500元,中邦城市,3室2厅,133平米,康桥租房,7500,高楼层(共16层),低楼层(共11层),低楼层(共11层)
21,美岸栖庭(公寓) 2室2厅 6500元,美岸栖庭(公寓),2室2厅,96平米,高境租房,6500,低楼层(共18层),2003年建板楼,2003年建板楼
22,名仕世家花苑 3室1厅 5000元,名仕世家花苑,3室1厅,89平米,颛桥租房,5000,低楼层(共6层),低楼层(共33层),低楼层(共33层)
23,九城湖滨国际 3室2厅 6800元,九城湖滨国际,3室2厅,122平米,九亭租房,6800,低楼层(共14层),2014年建板楼,2014年建板楼
24,乾骏园 3室2厅 8200元,乾骏园,3室2厅,95平米,龙华租房,8200,高楼层(共6层),低楼层(共23层),低楼层(共23层)
25,荣乐小区 3室1厅 3600元,荣乐小区,3室1厅,84平米,松江老城租房,3600,高楼层(共6层),2004年建塔楼,2004年建塔楼
26,中城绿苑 3室2厅 7000元,中城绿苑,3室2厅,114平米,春申租房,7000,中楼层(共14层),中楼层(共18层),中楼层(共18层)
27,安业公寓 3室2厅 13000元,安业公寓,3室2厅,131平米,鲁迅公园租房,13000,低楼层(共28层),2012年建板楼,2012年建板楼
28,闵浦新苑六村 2室1厅 3000元,闵浦新苑六村,2室1厅,70平米,浦江租房,3000,中楼层(共11层),低楼层(共6层),低楼层(共6层)
29,城东新村 2室1厅 2500元,城东新村,2室1厅,55平米,夏阳租房,2500,中楼层(共6层),2003年建板楼,2003年建板楼
60,万科金色城市 3室2厅 6800元,万科金色城市,3室2厅,88平米,御桥租房,6800,高楼层(共18层),高楼层(共18层),高楼层(共18层)
61,保利叶语(二期)(公寓) 2室2厅 5200元,保利叶语(二期)(公寓),2室2厅,89平米,顾村租房,5200,中楼层(共17层),2010年建板楼,2010年建板楼
62,新华南园大厦 1室1厅 5200元,新华南园大厦,1室1厅,54平米,世博滨江租房,5200,高楼层(共31层),中楼层(共17层),中楼层(共17层)
63,大华锦绣华城(十六街区)(公寓) 2室2厅 7500元,大华锦绣华城(十六街区)(公寓),2室2厅,97平米,北蔡租房,7500,高楼层(共20层),2013年建,2013年建
64,仁德路67弄 2室1厅 4200元,仁德路67弄,2室1厅,57平米,五角场租房,4200,高楼层(共6层),高楼层(共31层),高楼层(共31层)
65,万科城市花园 3室2厅 7500元,万科城市花园,3室2厅,94平米,七宝租房,7500,高楼层(共7层),2004年建塔楼,2004年建塔楼
66,紫竹半岛花园 3室2厅 7300元,紫竹半岛花园,3室2厅,95平米,吴泾租房,7300,高楼层(共18层),高楼层(共20层),高楼层(共20层)
67,中远两湾城 3室2厅 13000元,中远两湾城,3室2厅,139平米,中远两湾城租房,13000,高楼层(共32层),2008年建板楼,2008年建板楼
68,三林新村(永泰路468弄) 2室2厅 5500元,三林新村(永泰路468弄),2室2厅,83平米,三林租房,5500,高楼层(共18层),高楼层(共6层),高楼层(共6层)
69,新梅共和城 3室2厅 13000元,新梅共和城,3室2厅,136平米,大宁租房,13000,中楼层(共18层),1994年建板楼,1994年建板楼
70,天钥新村 2室1厅 7300元,天钥新村,2室1厅,67平米,万体馆租房,7300,低楼层(共5层),高楼层(共7层),高楼层(共7层)
71,华光花园 2室2厅 8500元,华光花园,2室2厅,104平米,金虹桥租房,8500,中楼层(共13层),1995年建板楼,1995年建板楼
72,保利金色唐城 2室2厅 6000元,保利金色唐城,2室2厅,82平米,唐镇租房,6000,中楼层(共4层),高楼层(共18层),高楼层(共18层)
73,奥林匹克花园 3室2厅 6600元,奥林匹克花园,3室2厅,121平米,九亭租房,6600,中楼层(共11层),2013年建板楼,2013年建板楼
74,华苑小区 3室1厅 7000元,华苑小区,3室1厅,60平米,中山公园租房,7000,低楼层(共6层),高楼层(共32层),高楼层(共32层)
75,和玉苑 2室2厅 7500元,和玉苑,2室2厅,97平米,闸北公园租房,7500,高楼层(共17层),2002年建板楼,2002年建板楼
76,长海坊 2室1厅 4600元,长海坊,2室1厅,61平米,康健租房,4600,低楼层(共6层),高楼层(共18层),高楼层(共18层)
77,四和花园 3室2厅 10000元,四和花园,3室2厅,94平米,曹家渡租房,10000,中楼层(共24层),2009年建板楼,2009年建板楼
78,民星二村 1室1厅 4000元,民星二村,1室1厅,42平米,中原租房,4000,高楼层(共6层),中楼层(共18层),中楼层(共18层)
79,商洛小区 1室0厅 3500元,商洛小区,1室0厅,34平米,凉城租房,3500,低楼层(共5层),2002年建板楼,2002年建板楼
80,莘城苑 2室2厅 3900元,莘城苑,2室2厅,81平米,莘庄租房,3900,高楼层(共6层),低楼层(共5层),低楼层(共5层)
81,延平小区 2室0厅 4000元,延平小区,2室0厅,40平米,闸北公园租房,4000,高楼层(共6层),1960年建板楼,1960年建板楼
82,南方城 2室2厅 8000元,南方城,2室2厅,96平米,古美租房,8000,中楼层(共14层),中楼层(共13层),中楼层(共13层)
83,市京一村 2室1厅 3500元,市京一村,2室1厅,44平米,中原租房,3500,低楼层(共6层),1996年建板楼,1996年建板楼
84,月亮湾园 2室2厅 4500元,月亮湾园,2室2厅,95平米,川沙租房,4500,中楼层(共6层),中楼层(共4层),中楼层(共4层)
85,东珂花苑 2室2厅 10000元,东珂花苑,2室2厅,105平米,源深租房,10000,高楼层(共15层),2008年建板楼,2008年建板楼
86,盛世东苑 2室1厅 3900元,盛世东苑,2室1厅,76平米,高东租房,3900,高楼层(共6层),中楼层(共11层),中楼层(共11层)
87,水景书香园 1室1厅 5000元,水景书香园,1室1厅,57平米,七宝租房,5000,高楼层(共11层),2005年建板楼,2005年建板楼
88,明珠苑(浦东) 2室2厅 6000元,明珠苑(浦东),2室2厅,70平米,洋泾租房,6000,高楼层(共6层),低楼层(共6层),低楼层(共6层)
89,虹莘新村 2室2厅 6000元,虹莘新村,2室2厅,89平米,古美租房,6000,中楼层(共6层),1984年建板楼,1984年建板楼
120,宁阳小区 2室1厅 5300元,宁阳小区,2室1厅,52平米,塘桥租房,5300,高楼层(共6层),高楼层(共6层),高楼层(共6层)
121,颛溪五村 3室2厅 3800元,颛溪五村,3室2厅,89平米,颛桥租房,3800,高楼层(共6层),1989年建板楼,1989年建板楼
122,绿波城 2室2厅 5600元,绿波城,2室2厅,86平米,唐镇租房,5600,中楼层(共6层),高楼层(共6层),高楼层(共6层)
123,文化花园园中苑 3室2厅 9500元,文化花园园中苑,3室2厅,136平米,五角场租房,9500,低楼层(共11层),1994年建板楼,1994年建板楼
124,春申景城湖滨晨韵 2室2厅 5500元,春申景城湖滨晨韵,2室2厅,85平米,春申租房,5500,中楼层(共17层),中楼层(共6层),中楼层(共6层)
125,合生江湾国际公寓 2室2厅 8000元,合生江湾国际公寓,2室2厅,103平米,新江湾城租房,8000,低楼层(共11层),2006年建板楼,2006年建板楼
126,金汇华光城 3室2厅 10500元,金汇华光城,3室2厅,135平米,金汇租房,10500,低楼层(共9层),低楼层(共11层),低楼层(共11层)
127,三湘四季花城 2室2厅 4900元,三湘四季花城,2室2厅,106平米,松江大学城租房,4900,高楼层(共14层),2001年建板楼,2001年建板楼
128,书香名第 2室2厅 7000元,书香名第,2室2厅,105平米,长风租房,7000,中楼层(共7层),中楼层(共17层),中楼层(共17层)
129,贝尚湾(公寓) 1室2厅 6500元,贝尚湾(公寓),1室2厅,72平米,九亭租房,6500,中楼层(共11层),2005年建板楼,2005年建板楼
130,阳光威尼斯(一期) 2室2厅 5000元,阳光威尼斯(一期),2室2厅,97平米,真光租房,5000,低楼层(共18层),低楼层(共11层),低楼层(共11层)
131,牡丹公寓 2室1厅 5000元,牡丹公寓,2室1厅,65平米,七宝租房,5000,高楼层(共6层),2008年建板楼,2008年建板楼
132,慧芝湖花园 2室2厅 11000元,慧芝湖花园,2室2厅,90平米,大宁租房,11000,中楼层(共36层),低楼层(共9层),低楼层(共9层)
133,汇成四村 2室1厅 4900元,汇成四村,2室1厅,60平米,上海南站租房,4900,低楼层(共6层),2003年建板楼,2003年建板楼
134,天山怡景苑 2室2厅 12000元,天山怡景苑,2室2厅,86平米,天山租房,12000,低楼层(共18层),高楼层(共14层),高楼层(共14层)
135,大同花园南区 2室2厅 13000元,大同花园南区,2室2厅,100平米,打浦桥租房,13000,低楼层(共37层),2006年建板楼,2006年建板楼
136,宝宸共和家园 2室2厅 6500元,宝宸共和家园,2室2厅,102平米,共康租房,6500,中楼层(共18层),中楼层(共7层),中楼层(共7层)
137,宛南一村 2室1厅 5200元,宛南一村,2室1厅,44平米,龙华租房,5200,高楼层(共5层),1999年建板楼,1999年建板楼
138,奥林匹克花园 2室2厅 4800元,奥林匹克花园,2室2厅,84平米,九亭租房,4800,高楼层(共5层),中楼层(共11层),中楼层(共11层)
139,明园森林都市 3室2厅 10000元,明园森林都市,3室2厅,118平米,大宁租房,10000,低楼层(共24层),2009年建板楼,2009年建板楼
140,宝华现代城 3室2厅 16000元,宝华现代城,3室2厅,137平米,大宁租房,16000,中楼层(共30层),低楼层(共18层),低楼层(共18层)
141,锦绿新城 2室2厅 8500元,锦绿新城,2室2厅,100平米,武宁租房,8500,高楼层(共32层),2004年建板楼,2004年建板楼
142,奥林匹克花园 2室2厅 5200元,奥林匹克花园,2室2厅,86平米,九亭租房,5200,中楼层(共5层),高楼层(共6层),高楼层(共6层)
143,华夏金桂苑(公寓) 3室2厅 6500元,华夏金桂苑(公寓),3室2厅,130平米,川沙租房,6500,低楼层(共4层),1996年建板楼,1996年建板楼
144,杉林新月环林东路879弄 1室1厅 3400元,杉林新月环林东路879弄,1室1厅,51平米,三林租房,3400,低楼层(共6层),中楼层(共36层),中楼层(共36层)
145,万兆家园 2室2厅 5800元,万兆家园,2室2厅,75平米,七宝租房,5800,高楼层(共6层),2009年建板楼,2009年建板楼
146,西凌新邨 2室1厅 7500元,西凌新邨,2室1厅,76平米,蓬莱公园租房,7500,中楼层(共32层),低楼层(共6层),低楼层(共6层)
147,虹康花苑(一期) 3室2厅 10000元,虹康花苑(一期),3室2厅,124平米,北新泾租房,10000,中楼层(共11层),1994年建板楼,1994年建板楼
148,金塔新村 2室1厅 3200元,金塔新村,2室1厅,55平米,颛桥租房,3200,中楼层(共6层),低楼层(共18层),低楼层(共18层)
149,贝尚湾(公寓) 2室2厅 7500元,贝尚湾(公寓),2室2厅,87平米,九亭租房,7500,中楼层(共16层),2009年建板楼,2009年建板楼
180,银南大厦 2室1厅 6500元,银南大厦,2室1厅,44平米,蓬莱公园租房,6500,高楼层(共23层),高楼层(共23层),高楼层(共23层)
181,佳龙花园 2室2厅 7800元,佳龙花园,2室2厅,98平米,黄兴公园租房,7800,中楼层(共11层),1991年建塔楼,1991年建塔楼
182,蓝朝部落 1室1厅 6300元,蓝朝部落,1室1厅,53平米,曹家渡租房,6300,高楼层(共32层),中楼层(共11层),中楼层(共11层)
183,双南两房+高区景观房+有钥匙看房随时+拎包住,武宁小城,2室1厅,67平米,武宁租房,6000,低楼层(共28层),2004年建板楼,2004年建板楼
184,信和花园 2室2厅 13000元,信和花园,2室2厅,96平米,碧云租房,13000,中楼层(共8层),高楼层(共32层),高楼层(共32层)
185,万源城尚郡 3室2厅 9300元,万源城尚郡,3室2厅,88平米,古美租房,9300,高楼层(共30层),2002年建塔楼,2002年建塔楼
186,张江汤臣豪园(三期) 2室2厅 8500元,张江汤臣豪园(三期),2室2厅,89平米,张江租房,8500,低楼层(共12层),低楼层(共28层),低楼层(共28层)
187,邮航小区 2室1厅 5800元,邮航小区,2室1厅,63平米,虹桥租房,5800,高楼层(共6层),1997年建塔楼,1997年建塔楼
188,水清一村 2室1厅 4500元,水清一村,2室1厅,58平米,莘庄租房,4500,高楼层(共6层),中楼层(共8层),中楼层(共8层)
189,银河新都 2室1厅 3300元,银河新都,2室1厅,68平米,春申租房,3300,高楼层(共11层),1995年建板楼,1995年建板楼
190,共康四村 2室1厅 3600元,共康四村,2室1厅,59平米,彭浦租房,3600,高楼层(共6层),高楼层(共30层),高楼层(共30层)
191,景丽苑 2室1厅 4500元,景丽苑,2室1厅,86平米,航华租房,4500,高楼层(共6层),2012年建板楼,2012年建板楼
192,大唐盛世花园 3室2厅 14000元,大唐盛世花园,3室2厅,144平米,花木租房,14000,低楼层(共18层),低楼层(共12层),低楼层(共12层)
193,和欣国际花园 2室2厅 6100元,和欣国际花园,2室2厅,74平米,共康租房,6100,中楼层(共18层),2010年建板楼,2010年建板楼
194,新挂牌中远两湾城景观一房，家电家具都配！看房有钥匙,中远两湾城,1室2厅,59平米,中远两湾城租房,6500,中楼层(共34层),高楼层(共6层),高楼层(共6层)
195,南京西路公馆 1室2厅 8800元,南京西路公馆,1室2厅,53平米,静安寺租房,8800,高楼层(共30层),1982年建板楼,1982年建板楼
196,中福花苑 1室1厅 6500元,中福花苑,1室1厅,49平米,蓬莱公园租房,6500,中楼层(共19层),高楼层(共6层),高楼层(共6层)
197,中福花苑 1室2厅 6200元,中福花苑,1室2厅,49平米,蓬莱公园租房,6200,中楼层(共19层),1994年建板楼,1994年建板楼
198,绿地世纪城(一期) 2室2厅 9000元,绿地世纪城(一期),2室2厅,96平米,武宁租房,9000,中楼层(共34层),高楼层(共11层),高楼层(共11层)
199,中远两湾城 1室1厅 7500元,中远两湾城,1室1厅,67平米,中远两湾城租房,7500,低楼层(共34层),2006年建板楼,2006年建板楼
200,文兰小区 2室1厅 6500元,文兰小区,2室1厅,50平米,塘桥租房,6500,高楼层(共6层),高楼层(共6层),高楼层(共6层)
201,工农四村五街坊 2室1厅 5300元,工农四村五街坊,2室1厅,87平米,中原租房,5300,高楼层(共6层),1995年建板楼,1995年建板楼
202,同润加州(公寓) 2室2厅 5200元,同润加州(公寓),2室2厅,116平米,莘闵别墅租房,5200,低楼层(共5层),高楼层(共6层),高楼层(共6层)
203,南苑七村 2室2厅 2200元,南苑七村,2室2厅,80平米,嘉定老城租房,2200,高楼层(共6层),1998年建板楼,1998年建板楼
204,博爱家园 4室2厅 14000元,博爱家园,4室2厅,178平米,世博租房,14000,高楼层(共6层),低楼层(共18层),低楼层(共18层)
205,文兰小区 2室1厅 6200元,文兰小区,2室1厅,51平米,塘桥租房,6200,高楼层(共6层),2004年建板楼,2004年建板楼
206,加东花园 3室2厅 6800元,加东花园,3室2厅,122平米,北蔡租房,6800,高楼层(共6层),中楼层(共18层),中楼层(共18层)
207,徐汇新城(公寓) 2室2厅 12000元,徐汇新城(公寓),2室2厅,105平米,长桥租房,12000,中楼层(共12层),2009年建板楼,2009年建板楼
208,中山北路2185弄 2室1厅 5350元,中山北路2185弄,2室1厅,52平米,光新租房,5350,中楼层(共6层),中楼层(共34层),中楼层(共34层)
209,馨康苑 3室2厅 8300元,馨康苑,3室2厅,116平米,共康租房,8300,低楼层(共15层),2003年建板楼,2003年建板楼
240,畅馨园 2室2厅 5000元,畅馨园,2室2厅,90平米,老闵行租房,5000,高楼层(共6层),高楼层(共6层),高楼层(共6层)
241,银河大楼 2室1厅 2000元,银河大楼,2室1厅,54平米,夏阳租房,2000,高楼层(共6层),2007年建板楼,2007年建板楼
242,金樟花苑 2室1厅 4900元,金樟花苑,2室1厅,78平米,金杨租房,4900,高楼层(共6层),高楼层(共6层),高楼层(共6层)
243,狮城花苑 2室1厅 4500元,狮城花苑,2室1厅,63平米,龙华租房,4500,高楼层(共6层),1980年建板楼,1980年建板楼
244,淡水湾花园 3室2厅 22000元,淡水湾花园,3室2厅,155平米,新天地租房,22000,低楼层(共29层),高楼层(共6层),高楼层(共6层)
245,仁恒广场 3室2厅 12000元,仁恒广场,3室2厅,152平米,塘桥租房,12000,高楼层(共23层),1994年建板楼,1994年建板楼
246,正阳世纪星城(绅鸿苑) 3室2厅 3500元,正阳世纪星城(绅鸿苑),3室2厅,100平米,南桥租房,3500,中楼层(共6层),高楼层(共6层),高楼层(共6层)
247,绿地香颂(奉贤)(公寓) 1室1厅 1800元,绿地香颂(奉贤)(公寓),1室1厅,61平米,海湾租房,1800,中楼层(共8层),1995年建板楼,1995年建板楼
248,世华佳苑 3室2厅 6500元,世华佳苑,3室2厅,135平米,杨行租房,6500,中楼层(共6层),低楼层(共29层),低楼层(共29层)
249,保利星苑 3室2厅 12000元,保利星苑,3室2厅,131平米,龙华租房,12000,高楼层(共29层),2007年建板楼,2007年建板楼
250,正阳世纪星城(绅鸿苑) 2室2厅 3000元,正阳世纪星城(绅鸿苑),2室2厅,83平米,南桥租房,3000,高楼层(共6层),高楼层(共23层),高楼层(共23层)
251,新鲜出炉     南京西路  高档住宅小区 大四房,静安枫景苑,4室2厅,175平米,江宁路租房,30000,中楼层(共38层),1996年建塔楼,1996年建塔楼
252,澳丽映象 2室2厅 3400元,澳丽映象,2室2厅,102平米,安亭租房,3400,高楼层(共11层),中楼层(共6层),中楼层(共6层)
253,天山华庭 2室2厅 12000元,天山华庭,2室2厅,90平米,天山租房,12000,高楼层(共20层),2006年建板楼,2006年建板楼
254,春申景城湖滨晨韵 2室1厅 5200元,春申景城湖滨晨韵,2室1厅,67平米,春申租房,5200,高楼层(共17层),中楼层(共8层),中楼层(共8层)
255,大华锦绣华城(十五街区) 2室2厅 8000元,大华锦绣华城(十五街区),2室2厅,77平米,北蔡租房,8000,中楼层(共18层),2013年建板楼,2013年建板楼
256,银都新村(1至7区) 2室1厅 3700元,银都新村(1至7区),2室1厅,56平米,颛桥租房,3700,高楼层(共6层),中楼层(共6层),中楼层(共6层)
257,仁恒滨江园 4室2厅 33000元,仁恒滨江园,4室2厅,187平米,陆家嘴租房,33000,中楼层(共17层),2005年建板楼,2005年建板楼
258,华滨家园 4室1厅 7500元,华滨家园,4室1厅,128平米,植物园租房,7500,低楼层(共35层),高楼层(共29层),高楼层(共29层)
259,悠和家园 1室2厅 5000元,悠和家园,1室2厅,65平米,大宁租房,5000,低楼层(共29层),2004年建板楼,2004年建板楼
260,九城湖滨国际 3室2厅 7000元,九城湖滨国际,3室2厅,122平米,九亭租房,7000,高楼层(共14层),高楼层(共6层),高楼层(共6层)
261,中远行家 1室0厅 6500元,中远行家,1室0厅,77平米,塘桥租房,6500,高楼层(共28层),2006年建板楼,2006年建板楼
262,平阳苑 2室2厅 6500元,平阳苑,2室2厅,89平米,古美租房,6500,低楼层(共11层),中楼层(共38层),中楼层(共38层)
263,航城园 2室1厅 2200元,航城园,2室1厅,82平米,川沙租房,2200,中楼层(共6层),2005年建板楼,2005年建板楼
264,三泉路517弄 1室1厅 3000元,三泉路517弄,1室1厅,41平米,彭浦租房,3000,高楼层(共6层),高楼层(共11层),高楼层(共11层)
265,三花现代城 3室2厅 8000元,三花现代城,3室2厅,123平米,高境租房,8000,低楼层(共16层),2007年建板楼,2007年建板楼
266,盘古天地 1室2厅 3200元,盘古天地,1室2厅,68平米,嘉定新城租房,3200,高楼层(共27层),高楼层(共20层),高楼层(共20层)
267,财富海景花园，新装修，西南向，有钥匙，价格好，急租,财富海景花园,2室2厅,174平米,陆家嘴租房,40000,高楼层(共30层),2009年建板楼,2009年建板楼
268,漕溪四村 3室1厅 6800元,漕溪四村,3室1厅,73平米,万体馆租房,6800,中楼层(共6层),高楼层(共17层),高楼层(共17层)
269,汇成一村 2室1厅 5000元,汇成一村,2室1厅,63平米,上海南站租房,5000,高楼层(共6层),2005年建板楼,2005年建板楼
300,海派青城 1室1厅 2600元,海派青城,1室1厅,44平米,新桥租房,2600,中楼层(共14层),中楼层(共14层),中楼层(共14层)
301,财富海景花园，新装修，西南向，有钥匙，价格好，急租,财富海景花园,2室2厅,174平米,陆家嘴租房,40000,高楼层(共30层),2011年建板楼,2011年建板楼
302,三花现代城 3室1厅 6500元,三花现代城,3室1厅,90平米,高境租房,6500,中楼层(共17层),高楼层(共30层),高楼层(共30层)
303,汇成一村 2室1厅 5000元,汇成一村,2室1厅,63平米,上海南站租房,5000,高楼层(共6层),2006年建板楼,2006年建板楼
304,德邑小城(公寓) 3室2厅 4000元,德邑小城(公寓),3室2厅,88平米,松江新城租房,4000,高楼层(共11层),中楼层(共17层),中楼层(共17层)
305,长岛公寓 3室2厅 8000元,长岛公寓,3室2厅,145平米,金桥租房,8000,中楼层(共24层),2010年建板楼,2010年建板楼
306,黎安二村 2室2厅 5200元,黎安二村,2室2厅,92平米,莘庄租房,5200,高楼层(共5层),高楼层(共6层),高楼层(共6层)
307,通海一小区 2室1厅 3200元,通海一小区,2室1厅,80平米,吴泾租房,3200,低楼层(共6层),1993年建板楼,1993年建板楼
308,泰和新城 3室1厅 4300元,泰和新城,3室1厅,104平米,顾村租房,4300,中楼层(共6层),高楼层(共11层),高楼层(共11层)
309,价格可谈空间大+业主急租+通风好+全明户型+看房有钥匙,威海路888弄,2室1厅,59平米,南京西路租房,7200,高楼层(共6层),2009年建板楼,2009年建板楼
310,古北菊翔苑(菊联路233弄) 3室1厅 4800元,古北菊翔苑(菊联路233弄),3室1厅,93平米,顾村租房,4800,中楼层(共8层),中楼层(共24层),中楼层(共24层)
311,浦东内环内 精装修 2号线世纪公园 龙阳路  电梯房,新领地,1室1厅,62平米,花木租房,5000,高楼层(共29层),2005年建塔楼,2005年建塔楼
312,联洋年华 1室2厅 9000元,联洋年华,1室2厅,75平米,联洋租房,9000,低楼层(共26层),高楼层(共5层),高楼层(共5层)
313,马当小区 1室0厅 6800元,马当小区,1室0厅,43平米,新天地租房,6800,中楼层(共27层),1995年建板楼,1995年建板楼
314,圣天地酒店式公寓 1室1厅 5500元,圣天地酒店式公寓,1室1厅,35平米,长寿路租房,5500,中楼层(共25层),低楼层(共6层),低楼层(共6层)
315,阳光威尼斯(三期) 1室2厅 4200元,阳光威尼斯(三期),1室2厅,75平米,真光租房,4200,高楼层(共26层),1994年建板楼,1994年建板楼
316,盛世宝邸(一期) 2室2厅 5500元,盛世宝邸(一期),2室2厅,90平米,淞南租房,5500,高楼层(共11层),中楼层(共6层),中楼层(共6层)
317,解放新村 2室1厅 1650元,解放新村,2室1厅,50平米,南桥租房,1650,低楼层(共3层),1995年建板楼,1995年建板楼
318,龙柏二村 2室1厅 5100元,龙柏二村,2室1厅,54平米,龙柏租房,5100,高楼层(共6层),高楼层(共6层),高楼层(共6层)
319,黎安二村 1室1厅 3300元,黎安二村,1室1厅,40平米,莘庄租房,3300,中楼层(共6层),1989年建板楼,1989年建板楼
320,卓悦居 2室2厅 12000元,卓悦居,2室2厅,94平米,不夜城租房,12000,高楼层(共37层),中楼层(共8层),中楼层(共8层)
321,金桥湾清水苑 2室2厅 4800元,金桥湾清水苑,2室2厅,68平米,金桥租房,4800,高楼层(共6层),2008年建板楼,2008年建板楼
322,永和二村 2室0厅 4200元,永和二村,2室0厅,54平米,永和租房,4200,高楼层(共6层),高楼层(共29层),高楼层(共29层)
323,华山花苑 2室1厅 7500元,华山花苑,2室1厅,83平米,镇宁路租房,7500,高楼层(共26层),2002年建塔楼,2002年建塔楼
324,田林十四村 1室1厅 4300元,田林十四村,1室1厅,45平米,田林租房,4300,中楼层(共18层),低楼层(共26层),低楼层(共26层)
325,益丰新村 2室2厅 5000元,益丰新村,2室2厅,76平米,张江租房,5000,高楼层(共6层),2004年建板楼,2004年建板楼
326,淞南四村 2室1厅 3200元,淞南四村,2室1厅,53平米,淞南租房,3200,低楼层(共6层),中楼层(共27层),中楼层(共27层)
327,静安晶华园 1室1厅 9000元,静安晶华园,1室1厅,58平米,江宁路租房,9000,中楼层(共31层),1992年建塔楼,1992年建塔楼
328,张桥小区 2室1厅 5200元,张桥小区,2室1厅,68平米,金桥租房,5200,中楼层(共6层),中楼层(共25层),中楼层(共25层)
329,金桥酒店公寓 1室1厅 6000元,金桥酒店公寓,1室1厅,65平米,碧云租房,6000,高楼层(共19层),2004年建塔楼,2004年建塔楼
360,盛世宝邸(一期) 2室2厅 5500元,盛世宝邸(一期),2室2厅,90平米,淞南租房,5500,高楼层(共11层),高楼层(共11层),高楼层(共11层)
361,密云路471弄 1室1厅 4200元,密云路471弄,1室1厅,39平米,曲阳租房,4200,高楼层(共6层),2010年建板楼,2010年建板楼
362,海尚乐苑 1室1厅 3500元,海尚乐苑,1室1厅,58平米,康桥租房,3500,高楼层(共14层),高楼层(共6层),高楼层(共6层)
363,宏立瑞园 2室1厅 3100元,宏立瑞园,2室1厅,59平米,南翔租房,3100,高楼层(共18层),1988年建板楼,1988年建板楼
364,宏立瑞园 2室1厅 3000元,宏立瑞园,2室1厅,59平米,南翔租房,3000,中楼层(共18层),高楼层(共14层),高楼层(共14层)
365,九城湖滨国际 3室2厅 5800元,九城湖滨国际,3室2厅,100平米,九亭租房,5800,高楼层(共14层),2010年建板楼,2010年建板楼
366,遵义路700号 1室0厅 4000元,遵义路700号,1室0厅,26平米,中山公园租房,4000,低楼层(共7层),高楼层(共18层),高楼层(共18层)
